,title,company,contract_type,location,salary,remote_type,starting_date,required_experience,education,description,profil_experience,publication_date,url_direct_offer
0,Data Engineer PySpark,"{'name': 'THALES', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Toulouse, Haute-Garonne",0,,,,,"QUI SOMMES-NOUS ? Thales propose des systèmes d'information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d'importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d'information critiques et cybersécurité, répondent aux besoins de marchés où l'utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équip…",,2024-02-19,https://www.adzuna.fr/land/ad/4574739084?se=FhLBleXS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=FE7ECBBD26503585482CAD5270E4346D7E31A2D2
1,Data Engineer F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Limoges, Haute-Vienne",0,,,,,"Position Description: Vous cherchez à intervenir pour des sociétés Data Driven dans différents domaines fonctionnels (marketing, vente finance, supply chain) et secteurs d'activités variés (Life science, secteur public, manufacturing, agroalimentaire, banque et finance). Vous avez envie de relever des challenges sur de l'intégration de données et de la data visualisation, le tout dans des contextes agiles et innovants. Your future duties and responsibilities: Alors venez rejoindre nos équipes d…",,2024-02-09,https://www.adzuna.fr/land/ad/4563522402?se=FhLBleXS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=41A4A94D10E63D36277861792ACF0D3313E19E41
2,Data Engineer F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Niort, Deux-Sèvres",0,,,,,"Position Description: Big Data, Data Science, Data analyse, Data architecture  Ça n'a pas de secret pour vous ? Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients. Si vous souhaitez intégrer nos équipes à Niort et accompagner les plus grands acteurs du secteur des Assurances, cette annonce est susceptible de…",,2024-02-09,https://www.adzuna.fr/land/ad/4563521913?se=FhLBleXS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=1C5431EAB5B38B695125944C849DF112D19D6252
3,Data Engineer H/F,"{'name': 'Nexton Consulting', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Paris, Ile-de-France",0,,,,,"Qui sommes-nous ? NEXTON c'est avant tout une entreprise qui accompagne ses clients dans leur transformation digitale. Tous les jours, nous travaillons avec des grands comptes et des pures players (SNCF, Orange, BNP PARIBAS…). Nous sommes experts du digital aussi bien sur de l'accompagnement stratégique qu'opérationnel. Fort du succès, NEXTON connaît aujourd'hui un développement significatif, autour de ses valeurs piliers : cohésion, confiance et performance. Et pour toi ? Notre politique de dé…",,2024-02-09,https://www.adzuna.fr/land/ad/4563827778?se=FhLBleXS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=19585F7589D7C41FFD35A9D59BDEA89505434A65
4,Data Engineer F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Lyon, Rhône",0,,,,,"Position Description: Vous rejoignez CGI, leader mondial du conseil et des services numériques à Lyon et accompagnez nos clients. Big Data, Data Science, Data analyse, Data architecture,  Ça n'a pas de secret pour vous ? Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients. Your future duties and responsibilit…",,2024-02-09,https://www.adzuna.fr/land/ad/4563519406?se=FhLBleXS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=9259FA79E379F3C8DB6C7F8CE9561903350D49F9
5,Data Engineer F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Clermont-Ferrand, Puy-de-Dôme",0,,,,,"Position Description: Big Data, Data Science, Data analyse, Data architecture,  Ça n'a pas de secret pour vous? Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients. Your future duties and responsibilities: Alors venez rejoindre nos équipes de Data Engineer. Vous pouvez être amené à intervenir sur tout ou part…",,2024-02-09,https://www.adzuna.fr/land/ad/4563521559?se=Uvd7luXS7hGYlvzeXRw5xg&utm_medium=api&utm_source=37fe08af&v=A7324512DED7DFCAAC9C21F436EE862C22F78427
6,Data Engineer F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Nantes, Loire-Atlantique",0,,,,,"Position Description: Big Data, Data Science, Data analyse, Data architecture,  Ça n'a pas de secret pour vous ? Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients. Si vous souhaitez intégrer nos équipes à Nantes et accompagner les plus grands acteurs de secteurs variés, cette annonce est susceptible de vous…",,2024-02-09,https://www.adzuna.fr/land/ad/4563522265?se=Uvd7luXS7hGYlvzeXRw5xg&utm_medium=api&utm_source=37fe08af&v=C5FC15AA835DBB2CA871A921F31290AAA0B7A200
7,Data Engineer F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Tours, Indre-et-Loire",0,,,,,"Position Description: Big Data, Data Science, Data analyse, Data architecture,  Ça n'a pas de secret pour vous ? Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients. Rejoignez notre centre d'excellence en innovation à Tours et rendez unique l'expérience digitale de nos clients en travaillant sur des sujets te…",,2024-02-09,https://www.adzuna.fr/land/ad/4563522356?se=Uvd7luXS7hGYlvzeXRw5xg&utm_medium=api&utm_source=37fe08af&v=7E8289A605867AA60DDE8AD61FEED4439466822F
8,Data Engineer H/F,"{'name': 'Nexton Consulting', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Grasse, Alpes-Maritimes",0,,,,,"Qui sommes-nous ? NEXTON c'est avant tout une entreprise qui accompagne ses clients dans leur transformation digitale. Tous les jours, nous travaillons avec des grands comptes et des pures players (SNCF, Orange, BNP PARIBAS…). Nous sommes experts du digital aussi bien sur de l'accompagnement stratégique qu'opérationnel. Fort du succès, NEXTON connaît aujourd'hui un développement significatif, autour de ses valeurs piliers : cohésion, confiance et performance. Et pour toi ? Notre politique de dé…",,2024-02-22,https://www.adzuna.fr/land/ad/4578449063?se=Uvd7luXS7hGYlvzeXRw5xg&utm_medium=api&utm_source=37fe08af&v=20B50A3BE7A32728CCBE8F9CFFDD0EE7E32E4BED
9,Data Engineer Airflow (expert),"{'name': 'CACIIS', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Marseille, Bouches-du-Rhône",0,,,,,"A client wants to improve the operability and performance of their data services across multiple IT platforms: a datalake, a datamart, a data warehouse, a BI environment, and Data Science. These platforms, although mature and already in production, require the implementation of tooling around orchestration issues to ensure operational performance. Mission: In collaboration with the data architect, data experts, and product manager/owner, you will be involved in the operations and implementation…",,2024-02-20,https://www.adzuna.fr/land/ad/4575975345?se=Uvd7luXS7hGYlvzeXRw5xg&utm_medium=api&utm_source=37fe08af&v=EBB5A52A062F83E4A15C87FF9C4D98269D43A1FD
