title,company,contract_type,location,salary,remote_type,starting_date,require_experience,education,description,profil_experience,publication_date,url_direct_offer,source
Consultant.e Data Engineer Expérimenté.e,"{'name': 'THE INFORMATION LAB', 'sector': 'Logiciels, IT / Digital, Big Data', 'employees': '38 collaborateurs', 'creation_year': '2015', 'turnover': '5M€', 'mean_age': None}",CDI,Paris,45K à 60K €,Télétravail fréquent,,,,"Descriptif du poste
Qui sommes-nous ?
Véritables passionnés de data, nous avons construit The Information Lab autour des solutions Tableau, Alteryx et Snowflake. Nous sommes convaincus que ce sont les meilleures technologies pour accomplir la transformation digitale de nos clients.
Notre spécialisation nous permet d’être les premiers partenaires de ces éditeurs et d’être les experts reconnus de ces solutions en France et en Europe.
En nous rejoignant vous pourrez partager votre passion avec vos pairs, travailler dans une ambiance décontractée pour remplir notre mission : ""Helping people make sense of data”.
Description du poste
Rattaché(e) au pôle Expertise et Conseil, vous intervenez sur des missions pour des clients de toutes tailles (grands groupes, ETI, mais aussi start-up et PME), tous métiers. Vos missions ont pour objet le traitement, l’analyse, l’enrichissement des données de nos clients et l’adoption par nos clients des technologies que nous proposons. Au sein d’une équipe de 5 à 8 personnes, vous réalisez vos missions en autonomie, ou avec un junior que vous encadrez, sous la supervision de votre “pod leader” (chef d’équipe).
Votre rôle consiste à :
Intervenir en avant-vente et cadrer vos missions
Conseiller nos clients et prendre en charge tout ou partie du delivery, sur des missions de quelques jours à quelques mois
Mener des projets de bout en bout, en méthode classique ou agile, en coordination avec les équipes de nos clients, nos équipes internes et les éditeurs partenaires
Présenter les livrables de vos missions et mettre en avant leur ROI
Former nos clients à nos technologies
Mettre vos compétences au service de vos collègues au-delà des missions dont vous avez la charge et participer au développement des compétences en partageant vos retours d’expérience
Participer aux activités d’évangélisation, par exemple : rédaction de posts de blogs, participation aux communautés des éditeurs, interventions lors d’événements (salons, conférences, webinaires)
Participer aux projets internes (BI interne, méthodes & qualités)
Les solutions que vous construisez reposent principalement sur les technologies de nos partenaires (Snowflake, Alteryx, Tableau), mais aussi selon le contexte client sur des technologies similaires.
Vos principales qualités :
Excellentes facultés d’écoute et de communication, orale et écrite
Aptitude à travailler sur plusieurs sujets en parallèle, à prioriser
Humilité et capacité à apprendre ainsi qu’à transmettre ses connaissances
Sens du service, un bon relationnel avec les clients et la rigueur nécessaire au succès de leurs projets
Team player
Compétences méthodologiques :
Analyse du besoin et cadrage de mission
Construction d’indicateurs métiers à partir de données brutes
Idéalement connaissance d’un ou plusieurs métiers et de leurs indicateurs clés
Préparation de données complexes à des fins d’analyse
Méthodes de gestion de projet (classique et agile)
Capacité prouvée à réaliser des démonstrations d’outils
Compétences techniques :
Connaissance d’au moins Alteryx Designer ou Tableau Prep (idéalement vous avez déjà une expérience solide sur ces outils)
Maîtrise d’autres outils d’analyse de données
Connaissance de la modélisation de données à des fins d’analyse
Expérience professionnelle : vous bénéficiez d’au moins 5 ans d’expérience professionnelle, dont 3 ans sur un poste similaire ou dans un poste qui vous aura permis d’utiliser les technologies similaires aux nôtres. Idéalement, vous avez déjà une expérience dans un cabinet de conseil ou une ESN.
Langues : Français, Anglais professionnel
Quoi d’autre ?
Situation géographique : Ile-de-France. Déplacements en France à prévoir.
Rémunération : 45 à 60 k€, selon expérience.
Voir moins",,2024-01-17,https://www.welcometothejungle.com/fr/companies/the-information-lab/jobs/consultant-e-data-engineer-experimente-e_paris?q=b1e4ccff4b9d21c0fa151eb3db602b6b&o=be1cfe82-a153-4098-a40a-c5d04d362922&p=true,wttj
Data Engineer,"{'name': 'LESAFFRE', 'sector': 'Pharmaceutique / Biotechnologique, Agroalimentaire / Nutrition animale', 'employees': '11000 collaborateurs', 'creation_year': '1853', 'turnover': '2.7 milliards', 'mean_age': '41 ans'}",CDI,Marcq En Baroeul,Non spécifié,Télétravail occasionnel,,> 5 ans,,"Descriptif du poste
Lesaffre Digital & Data ambitions 
Lesaffre’s Digital & Data journey started some years’ ago with a strong push to encourage and cross-fertilize initiatives across the organization. Business impact of some of these first actions (Sales efficiency tools, My Lesaffre App for Bakers, digitalization of key operations etc…) have confirmed the importance of accelerating this journey.
Digital & Data are to become a fundamental transformative force for Lesaffre growth. On one hand, as a lever to increase customer centricity and user experience. On the other, to bring operational excellence across the company.
More concretely, some of these opportunities are: 
Further empower salesforce & leverage digital marketing to capture, convert and keep our future and current clients and consumers  
Leverage omnichannel strategies to sell, serve and delight our customers
Turn our industrial operations even more intelligent and efficient (digitalization of processes, automatization of low added value tasks, industrial productivity, supply chain performance …)
Contribute to unlocking further value and efficiency on R&D processes
Empowering transversal functions to deliver better user experiences
To accelerate this journey, a substantial additional effort is being put in place. The recent arrival of a Chief Digital & Data Officer (ExCom member) has marked the beginning of this acceleration. With a more structured and results oriented journey, CD&D officer is creating a new organisation. Data and Tech is at the heart of the transformation. A Data and Tech Factory has been created to valorise Lesaffre’s data assets, and deliver use cases, governance capacities, and innovation. Both embedded in the Business and at a Global level, digital & data talents will be crucial to this transformative journey both in the impact to business as well as the development of D&D capabilities.
In this context, Lesaffre is recruiting a Data Engineer
This position will be part of the Data & Tech Factory and will report to the Head of Data Architecture and Engineering. You will play a pivotal role in shaping our data use cases and driving our data mesh strategy forward. You will collaborate with cross-functional teams to collect, transform, and deliver high-quality data for analytics, insights, or AI driven solutions. You will be responsible for developing and maintaining our data products, ensuring data quality, and optimizing performance in a cloud-native environment.
Key Responsibilities:
Develop and maintain data products to ingest data from various sources into our cloud-based data store.
Implement data integration strategies that align with the Data Mesh architecture principles.
Transform raw data into usable formats suitable for analytics, adhering to best practices for data quality and consistency.
Implement data processing and transformation logic using state-of-the-art technologies.
Implement data quality checks and data validation processes to ensure the integrity of the data.
Optimize data pipelines and processes for performance and scalability in a cloud-based environment.
Monitor and troubleshoot data pipeline issues, ensuring minimal downtime.
Utilize cloud services (e.g., AWS, Azure, GCP) for data storage, processing, and orchestration.
Stay up to date with cloud technologies and leverage them to enhance data engineering capabilities.
Work closely with data scientists, analysts, and other stakeholders to understand their data requirements and provide timely data products solutions.
When required, participate and collaborate to enforce data governance policies and standards.
Voir moins","Profil recherché
There is no such thing as a ‘perfect’ candidate. Lesaffre is a place where you can grow and in which whatever background you come with will be a plus. If you feel excited about the position, we strongly encourage you to apply even if you meet only two third the requirements.
Proven experience as a Data Engineer, with a focus on cloud-based solutions.
Solid programming skills in one or more programming languages, including at least Python
Experience with data orchestration and workflow management tools (e.g., Apache Airflow).
Understanding of data modeling and database design principles.
Experience working with both relational and non-relational databases (Postgresql, Cassandra, MongoDB, RDS, DynamoDB)
Ability to work effectively in a cross-functional and collaborative team environment.
Experience working with container management tools such as Docker.
Knowledge of cloud data storage technologies (Snowflake, NoSQL, S3)
Voir plus",2024-02-23,https://www.welcometothejungle.com/fr/companies/lesaffre/jobs/data-engineer_marcq-en-baroeul?q=ef902e83f94cc3417877b26437a07dbc&o=3d6113d9-e31a-4965-bce9-13143bd0d18a,wttj
Data Engineer - Transport,"{'name': 'MP DATA', 'sector': 'Intelligence artificielle / Machine Learning, IT / Digital, Big Data', 'employees': '100 collaborateurs', 'creation_year': '2015', 'turnover': None, 'mean_age': '27 ans'}",CDI,Boulogne-Billancourt,Non spécifié,Télétravail fréquent,05 février 2024,,,"Descriptif du poste
L’environnement data vous anime, vous êtes sensibles par les enjeux de transitions énergétiques et environnementaux.
MP DATA recrute un(e) Data Engineer - Data visualisation (H/F) afin de travailler pour des projets auprès d’un acteur majeur du Transport.
Conception et développement de solutions permettant la collecte, l’organisation, le stockage et la modélisation des données. Ceux-ci doivent être suffisamment sécurisés et lisibles pour les Data Analysts et Data Scientists,
Mise à jour permanente sur les technologies et les langages utilisés dans le but de partager ses connaissances et aider à l’avancement des projets,
Contribution, sous la responsabilité opérationnelle de notre Architecte, aux meilleures pratiques, normes, politiques, méthodes, outils et procédures sur le Cluster Big Data,
Assurer l’accès aux différentes sources de données, et veiller à la qualité des données,
Donner un accès facilité aux Data Analysts et Data Scientists afin exploiter les données dans des conditions optimales,
Accompagné par les équipes internes MP DATA, vous monterez en compétences sur le management des flux de données pour l’ingénierie (pré processing, feature engineering…), la modélisation et enfin l’industrialisation de vos modèles.
Voir moins","Profil recherché
Ingénieur d’une grande école (Centrale, Mines, Supaero, Supelec, …), vous avez des connaissances en modélisation et machine learning (deep learning, random forest, svm…) acquises lors de votre scolarité ou de vos expériences passées (stage ou césure) vous avez de bonnes connaissances en Python pour coder ces algorithmes. Suite à votre cursus ingénieur ou vos expériences professionnelles, vous disposez de appétences métiers dans les domaines de l’aéronautique, énergie, transport, etc…
Vous êtes intéressés pour vous dépasser en data science & data engineering et vous avez des premières expériences dans ce domaine, comme par exemple :
Spark / PySpark
Kafka
Cloud : AWS / GCP / Azure
Technologies de stockage : Snowflake / S3 / GCS / Azure Blob
Git Lab
SQL : Postgres / MongoDB
CI/CD.
Voir plus",2024-02-23,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-engineer-transport_boulogne-billancourt?q=ef902e83f94cc3417877b26437a07dbc&o=9132eb47-99ff-44f2-809b-f0819ee9671d,wttj
Data Engineer Spark Scala H/F,"{'name': 'SKIILS', 'sector': 'Intelligence artificielle / Machine Learning, Transformation, Big Data', 'employees': '100 collaborateurs', 'creation_year': '2020', 'turnover': '11M€', 'mean_age': '34 ans'}",CDI,,Non spécifié,Télétravail fréquent,,,,"Descriptif du poste
🪄Tu as le pouvoir de créer des pipelines capables de transformer des données en véritables trésors exploitables, alors tu es peut-être notre Super Data Engineer !
🎯Tu es prêt à affronter des défis titanesques, à gérer des montagnes de données, à défendre la résilience des systèmes, et à affronter des flux de données massifs, l’équipe DATA Factorii t’ouvre ses portes comme un véritable repaire de super-héros !
🚀En tant que Super Data Engineer - Spark Scala H/F, tes missions seront de :
·         Définir et déployer le socle technologique d’un Datalake
·         Conseiller et concevoir une architecture de données
·         Implémenter l’intégration des données au sein du Datalake
·         Identifier, étudier et prototyper des cas d’usage stratégiques
·         Industrialiser les projets Big Data en environnement cloud
·         Implémenter les méthodologies Devops pour optimiser les processus de développement
·         Participer à l’estimation des besoins utilisateurs.
·         Concevoir du code et le documenter.
·         Collaborer étroitement au sein de l’équipe SCRUM, comprenant le Product Owner, les développeurs, Quality Analyst, et le support, pour assurer le succès des projets.
🎁 Ce que nous t’offrons ?
·         Un salaire qui évolue comme une rock star sur scène !
·         Une carrière à la “James Bond” : à moyen et long terme, c’est toi le héros !
·         Ta mutuelle et ton titre de transport pris en charge à 100% (bye-bye les frais) !
·         Télétravail partiel : l’équilibre parfait entre pyjama et costume !
Et surtout, la chance de t’investir dans des projets ultra cool qui te propulseront techniquement vers l’infini et au-delà ! 🚀
Voir moins","Profil recherché
En 1er, un savoir être qui correspond à l’ADN de skiils !
·         Les processus agiles, c’est ton super-pouvoir ! Le Manifeste Agile, c’est ton livre de chevet, toujours prêt à l’action.
·         Comprendre l’environnement fonctionnel du client est ta mission principale, car tu sais que c’est là que se trouvent les indices cruciaux pour tes analyses héroïques.
·         Doté(e) d’une autonomie inébranlable, d’un dynamisme surpuissant et d’un sens des relations humaines extraordinaire, tu es une véritable icône.
En 2nd, un bagage technique qui tient la route :
·         Connaissance approfondie des concepts de Kafka, notamment Kafka-Stream.
·         Expérience sur les outils Scala ou Java.
·         Compétence en CI/CD et outils de déploiement (Jenkins, GitLab, Kubernetes, Docker, Ansible).
·         Maîtrise de l’écosystème Big Data (Hadoop, Spark, Apache Kafka, Avro).
·         Expérience avec les bases de données NoSQL (Cassandra, BigTable).
·         Connaissance des moteurs de recherche (Elasticsearch).
Voir plus",2024-02-23,https://www.welcometothejungle.com/fr/companies/skiils/jobs/data-engineer-spark-scala-h-f_SKIIL_Y01ea9P?q=ef902e83f94cc3417877b26437a07dbc&o=ce2f17c5-e599-4cd8-a38f-d12a84b93ddb,wttj
"Data Engineer Nearshore | Spark, Scala, Kafka H/F","{'name': 'SKIILS', 'sector': 'Intelligence artificielle / Machine Learning, Transformation, Big Data', 'employees': '100 collaborateurs', 'creation_year': '2020', 'turnover': '11M€', 'mean_age': '34 ans'}",Freelance,,200 à 300 € par jour,Télétravail total,23 février 2024,> 2 ans,Bac +5 / Master,"Descriptif du poste
Tu as le pouvoir de créer des pipelines capables de transformer des données en véritables trésors exploitables, alors tu es peut-être notre Super Data Engineer !
Tu es prêt à affronter des défis titanesques, à gérer des montagnes de données, à défendre la résilience des systèmes, et à affronter des flux de données massifs, l’équipe DATA Factorii t’ouvre ses portes comme un véritable repaire de super-héros !
En tant que Super Data Engineer - Spark Scala H/F, tes missions seront de :
 Définir et déployer le socle technologique d’un Datalake
 Conseiller et concevoir une architecture de données
 Implémenter l’intégration des données au sein du Datalake
 Identifier, étudier et prototyper des cas d’usage stratégiques
 Industrialiser les projets Big Data en environnement cloud
Implémenter les méthodologies Devops pour optimiser les processus de développement
 Participer à l’estimation des besoins utilisateurs.       
 Concevoir du code et le documenter.
 Collaborer étroitement au sein de l’équipe SCRUM, comprenant le Product Owner, les développeurs, Quality Analyst, et le support, pour assurer le succès des projets.
Ce que nous t’offrons ?
Un salaire qui évolue comme une rock star sur scène !
 Une carrière à la “James Bond” : à moyen et long terme, c’est toi le héros !
Ta mutuelle et ton titre de transport pris en charge à 100% (bye-bye les frais) !
 Télétravail partiel : l’équilibre parfait entre pyjama et costume !
Et surtout, la chance de t’investir dans des projets ultra cool qui te propulseront techniquement vers l’infini et au-delà !
Voir moins","Profil recherché
Profil recherché
En 1er, un savoir être qui correspond à l’ADN de skiils !
         Les processus agiles, c’est ton super-pouvoir ! Le Manifeste Agile, c’est ton livre de chevet, toujours prêt à l’action.
         Comprendre l’environnement fonctionnel du client est ta mission principale, car tu sais que c’est là que se trouvent les indices cruciaux pour tes analyses héroïques.
         Doté(e) d’une autonomie inébranlable, d’un dynamisme surpuissant et d’un sens des relations humaines extraordinaire, tu es une véritable icône.
En 2nd, un bagage technique qui tient la route :
         Connaissance approfondie des concepts de Kafka, notamment Kafka-Stream.
         Expérience sur les outils Scala ou Java.
         Compétence en CI/CD et outils de déploiement (Jenkins, GitLab, Kubernetes, Docker, Ansible).
         Maîtrise de l’écosystème Big Data (Hadoop, Spark, Apache Kafka, Avro).
Voir plus",2024-02-23,https://www.welcometothejungle.com/fr/companies/skiils/jobs/data-engineer-nearshore-spark-scala-kafka-h-f?q=ef902e83f94cc3417877b26437a07dbc&o=98b6f489-1fb0-49d2-9efb-6562f8a62b72,wttj
Data Engineer H/F/X,"{'name': 'ELEVEN LABS', 'sector': 'Logiciels, IT / Digital, Audit', 'employees': '100 collaborateurs', 'creation_year': '2011', 'turnover': None, 'mean_age': '33 ans'}",CDI,Paris,Non spécifié,Télétravail fréquent,,> 2 ans,,"Descriptif du poste
Seras-tu notre furtur.e Data Engineer !
Un peu de contexte
☝️ De plus en plus de nos consultants s’intéressent de près au sujet de la Data, ce qui nous a poussé à explorer ces problématiques chez nos clients et de constater un besoin fort d’accompagnement de leur part.
Nous recherchons donc la personne qui ouvrira la voie à cette expertise chez Eleven Labs et qui accompagnera la création de l’escouade Data !","Profil recherché
Nos attentes
🧠 Nous recherchons quelqu’un d’expérimenté/e dans la mise en place de pipeline ETL/ELT et data lake / data hub, capable de répondre au mieux aux problématiques qui lui seront soumises, pour qui les requêtes SQL, NoSQL sur BDD n’ont aucun secret, et qui maîtrise déjà une ou plusieurs solutions de Data Warehouse (de type BigQuery ou SnowFlake).
🍒 Cerise sur le gâteau : on cherche aussi un profil maîtrisant les langages type Python, Java ou Scala pour customiser les steps, avec bien entendu des connaissances solides sur des outils comme Spark, Jupyter ou encore Cloud Run comme outils de calcul distribué. Des connaissances dans l’utilisation d’outils ML et d’environnement Cloud en général sont un vrai plus.
🎭 Côté personnalité, et outre cet aspect expérimenté et “ouvreur de voie”, on cherche quelqu’un de moteur, avec un réel enthousiasme à transmettre ses connaissances, former et échanger.
Les missions
Voir plus",2024-02-23,https://www.welcometothejungle.com/fr/companies/eleven-labs/jobs/data-engineer-h-f-x_paris_EL_Rw5Pw5d?q=ef902e83f94cc3417877b26437a07dbc&o=01b26959-1e31-4a9c-9147-a2256df22aa8,wttj
Data Engineer,"{'name': 'SANCARE', 'sector': 'Intelligence artificielle / Machine Learning, Big Data, Santé', 'employees': '47 collaborateurs', 'creation_year': '2016', 'turnover': None, 'mean_age': None}",CDI,Paris,45K à 55K €,Télétravail fréquent,,> 3 ans,Bac +5 / Master,"Descriptif du poste
- Qui sont-ils ?
Les hôpitaux recueillent de multiples données de santé lors de l’hospitalisation d’un patient : comptes rendus médicaux, observations du personnel soignant, résultats d’examens, etc.
À l’échelle de l’hôpital, cela représente une quantité massive de données, qui sont largement sous-exploitées. Sancare propose des outils prédictifs utilisant les dernières avancées en intelligence artificielle pour mettre ces données au service des hôpitaux et de la santé.
Notre premier produit est déjà utilisé par une quarantaine de groupement hospitalier. Il permet la détection automatique de diagnostics à partir de documents en texte libre et autres données contenus dans les dossiers patients, visualisables dans une interface web intuitive et ergonomique, et fait gagner du temps aux médecins et à leurs assistants administratifs. Nous développons en parallèle un nouvel outil facilitant la conduite d’études en vie réelle pour évaluer des médicaments et dispositifs médicaux. Vu le fort impact potentiel de ce projet sur la recherche clinique, l’attente de la part de différents acteurs de la santé (notamment, hôpitaux et laboratoires pharmaceutiques) est considérable.

L'équipe de Sancare est composée de presque 50 collaborateurs spécialisées dans le développement informatique, le machine learning et la santé. Nous avons de plus la chance d’être accompagnés par des chercheurs reconnus dans le domaine du machine learning, ainsi que par des médecins et experts du monde de la santé.  

Nous recherchons un(e) Data Engineer avec de solides compétences opérationnelles et souhaitant rejoindre une équipe dynamique, expérimentée et motivée, afin d’accélérer l'arrivée de nos solutions en rupture dans le monde de la santé.

  - Descriptif du poste
La gestion et le traitement de la donnée sont au coeur des problématiques de Sancare. Comme chaque hôpital dispose de son propre système d’information, des connecteurs doivent être implémentés pour chacun, afin de nourrir les algorithmes de machine learning. Les moyens d’accès et le format des données contenues dans les dossiers patients sont très variés et diffèrent d’un établissement à un autre.
De plus, de nombreuses mesures sont à respecter afin de garantir la sécurité et la confidentialité des données.

Missions :
Développement de connecteurs permettant la transmission des données hospitalières entre les SI hospitaliers et les logiciels de Sancare
Développement d’outils de standardisation et de traitement des données hospitalières en vue de leur utilisation par les algorithmes de machine learning
Amélioration et maintenance des fonctionnalités existantes de traitement de données
Gestion opérationnelle des différents services de traitement de données, etc.
    - Les avantages  Sancare :
Des superbes locaux en plein centre de Paris (Châtelet)
Une organisation du travail flexible (109 jours de télétravail par année civile pour les salariés en forfait jour: soit deux jours de télétravail possibles par semaine et ce forfait pourra être porté à 131 jours de télétravail si les salariés au forfait jour justifient d’un temps de déplacement domicile-bureau supérieur à 3h par jour: soit trois à quatre jours de télétravail possibles par semaines pour les personnes à plus d’1h30 du bureau)
Tickets restaurant
Éligibilité BSPCE
Mutuelle Alan
Hello CSE, etc.
 Chez Sancare on n’est jamais à l’abri d’un apéro ou d’un cours de street-art ! Des retours d’expérience réguliers dans des formats variés (afterworks, séminaires, …) pour valoriser le partage d’idées et la connaissance commune.
    - Profil recherché
Expérience significative dans le développement en Python orienté objet (3ans à 5ans)
Expérience de développement sous Linux
Expérience dans la manipulation de données avec le langage SQL
Pratique avancée des outils d’intégration continue avec Git et tests unitaires
Des qualités d’autonomie, de flexibilité et de responsabilité
L’esprit d’équipe et la volonté de prendre part à une aventure collective
Un intérêt pour le monde de la santé
Sont un plus :
Familiarité avec Docker et RabbitMq
Expérience avec les données de santé dans le secteur hospitalier
N’hésitez pas à partager vos projets personnels de développement (sur GitHub ou ailleurs).

  - Déroulement des entretiens
Entretien RH
Test Technique puis Entretien Technique de pair programing avec l'équipe 
Entretien avec notre CEO
Voir moins",,2024-02-23,https://www.welcometothejungle.com/fr/companies/sancare/jobs/data-engineer_paris_SANCA_zDMr9a2?q=ef902e83f94cc3417877b26437a07dbc&o=26b85488-a2f6-41bb-ad25-70e4baed5d9e,wttj
,,,,,,,,,,,,https://www.welcometothejungle.com/fr/companies/cenova/jobs/luxe-cloud-data-engineer-experimente-h-f-paris_neuilly-sur-seine?q=ef902e83f94cc3417877b26437a07dbc&o=d3e04b61-1f10-4b76-bc67-0aef3a1a2fa1,wttj
Data Engineer,"{'name': 'THE PRODUCT CREW', 'sector': 'Recrutement', 'employees': '10 collaborateurs', 'creation_year': '2020', 'turnover': None, 'mean_age': '30 ans'}",CDI,Paris,Non spécifié,Télétravail non autorisé,,,,"Descriptif du poste
Nous travaillons avec +400 startups et scale ups de la scène tech française et européenne, à la recherche de Data Engineers expérimentés de Confirmés à C-Level:
Heetch, Scaleway, Skello, Blablacar, Sendinblue, Mirakl, Partoo, Frichti, Swan, Jellysmack, MangoPay, Coinhouse… mais aussi les startups d’eFounders comme Collective Work, Numeral, ou Folk… et bien d’autres. Nous développons une communauté de hauts talents avec pour vocation d’apporter du soutien à leur carrière tout au long de leur vie professionnelle. Événements, ressources, sessions de recrutement…","Profil recherché
🤜 Décroche ton prochain rôle de Data Engineers avec l’aide de la communauté The Product Crew 🤛
Comme chaque 1er du mois, nous lançons une nouvelle session de recrutement. Les inscriptions sont ouvertes pour quelques jours seulement :
Tu as la possibilité de rendre ton profil visible auprès de nos startups partenaires,
Celles qui sont intéressées rentrent directement en contact avec toi,
Nous t’accompagnons tout au long du process.
On sera ravis de t’accompagner ton prochain objectif 🚀
L’inscription prend 5min. Pas besoin de CV, et c’est 100% gratuit 😊 Voici le lien pour t’inscrire 👉 https://app.theproductcrew.io/subscribe",2024-02-23,https://www.welcometothejungle.com/fr/companies/the-product-crew/jobs/data-engineer_paris_TPC_KbxzMk8?q=ef902e83f94cc3417877b26437a07dbc&o=d590aeae-ef41-47f3-8eda-93cb6475db33,wttj
Alternance (Bac +5) - Data Engineer (F/H/X),"{'name': 'IADVIZE', 'sector': 'IT / Digital, Économie collaborative, E-commerce', 'employees': '220 collaborateurs', 'creation_year': '2010', 'turnover': None, 'mean_age': '33 ans'}",Alternance,Nantes,Non spécifié,Télétravail fréquent,,> 6 mois,,"Descriptif du poste
Vous rejoindrez l'équipe Data (4 personnes) au sein du département Product & Engineering. Vous serez sous la responsabilité du Senior Data Engineer et l'aiderez à concevoir, construire, améliorer et maintenir la stack Data.
Vous aurez l'opportunité de participer à une gamme étendue de tâches, allant de la surveillance de l'infrastructure de données à la mise en œuvre de changements critiques, ainsi que de la collecte de données pour répondre aux défis business.
Votre travail implique des actions à plus long terme ainsi que des interventions opérationnelles quotidiennes, vous offrant ainsi une expérience réaliste du rôle de Data Engineer.
Vous collaborez avec des Data Scientists et des Analystes, ainsi qu'avec l'équipe Engineering Platform et éventuellement avec des parties prenantes commerciales.
Vous acquerrez de l'expérience dans un environnement technique riche, notamment sur Google Big Query, Apache Airflow, Amazon Athena, Elasticsearch, Tableau…
Vos missions :
Surveiller l'exécution des pipelines de données.
Participer à la migration des processus ETL.
Implémenter des évolutions dans la stack d'ingénierie des données (par exemple, automatisations, systèmes d'alerte, traçabilité, documentation).
Contribuer à la mise à jour ou à la configuration de nouveaux pipelines de collecte.
Effectuer des extractions ad hoc et/ou des corrections BI pour répondre aux besoins urgents de l'entreprise.
Voir moins","Profil recherché
Profil recherché
En dernière année d'études (Bac +5), vous recherchez pour 2024/2025 un terrain propice pour vous forger une expérience valorisante.
Vous disposez d’au moins une première expérience en programmation, de compétences en manipulation de données ainsi que de connaissances de base des environnements cloud. Enfin, vous êtes à l'aise avec la gestion de plusieurs tâches et des délais.
 Compétences techniques
Bonne connaissance de Python (usage général, avec un accent sur la manipulation de structures de données).
Bonne connaissance de SQL.
Familiarité avec les environnements Linux et la ligne de commande (CLI).
Compréhension des processus et de l'orchestration ELT/ETL.
Bonus 1 : Expérience avec au moins un fournisseur de Cloud majeur (AWS, GCP, Azure, …).
Voir plus",2024-02-23,https://www.welcometothejungle.com/fr/companies/iadvize/jobs/alternance-bac-5-data-engineer-f-h-x_nantes_IADVI_lxRMdJ2?q=ef902e83f94cc3417877b26437a07dbc&o=09271f99-2afb-4d4d-8c97-5c60a552dff0,wttj
