location,latitude,longitude,city,postal_code
"Toulouse, Haute-Garonne",43.61956,1.405441,Toulouse,31200
"Limoges, Haute-Vienne",45.828281,1.259509,Limoges,87000
"Niort, Deux-Sèvres",46.359227,-0.466111,Niort,79000
"Paris, Ile-de-France",48.830919,2.376158,Paris,75013
"Lyon, Rhône",45.733918,4.828239,Lyon,69007
"Clermont-Ferrand, Puy-de-Dôme",45.787475,3.060006,Clermont-Ferrand,63100
"Nantes, Loire-Atlantique",47.211288,-1.526251,Nantes,44200
"Tours, Indre-et-Loire",47.404818,0.699401,Tours,37100
"Grasse, Alpes-Maritimes",43.64527,6.937547,Grasse,06130
"Marseille, Bouches-du-Rhône",43.279413,5.381936,Marseille,13008
"Vélizy-Villacoublay, Versailles",48.785929,2.190344,Vélizy-Villacoublay,78140
"Montpellier, Hérault",43.610476,3.87048,Montpellier,34000
"Aix-en-Provence, Bouches-du-Rhône",43.514786,5.452306,Aix-en-Provence,13100
"Villeneuve-d'Ascq, Lille",50.625559,3.145605,Villeneuve-d'Ascq,59650
France,44.518707,0.221494,Virazeil,47200
"Strasbourg, Strasbourg-Ville",49.470674,5.93265,Villerupt,54190
"Hauts-de-Seine, Ile-de-France",48.784678,2.243062,Clamart,92140
"Ile-de-France, France",48.888988,2.544404,Gagny,93220
"Bordeaux, Gironde",44.864586,-0.551486,Bordeaux,33300
"Cachan, L'Haÿ-les-Roses",48.776851,2.341617,L'Haÿ-les-Roses,94240
"Boulogne-Billancourt, Hauts-de-Seine",48.828347,2.25052,Boulogne-Billancourt,92100
"Metz, Metz-Ville",49.467712,5.930684,Villerupt,54190
"Puteaux, Nanterre",48.884156,2.237199,Puteaux,92800
"Antibes-Biot, Grasse",43.594589,7.093774,Antibes,06600
"Levallois-Perret, Nanterre",48.894215,2.286846,Levallois-Perret,92300
"Hauts-De-France, France",14.609545,-61.067084,Fort-de-France,97200
"Noisy-le-Grand, Le Raincy",48.890918,2.517196,Le Raincy,93340
"Nanterre, Hauts-de-Seine",48.883376,2.215589,Nanterre,92000
"Lille, Nord",50.646977,3.054869,Lille,59800
"Dijon, Côte-d'Or",47.333332,5.03675,Dijon,21000
"Molsheim, Bas-Rhin",48.540123,7.50352,Molsheim,67120
"Rezé, Nantes",47.20422,-1.60787,Nantes,44100
"Issy-les-Moulineaux, Boulogne-Billancourt",48.829115,2.251879,Boulogne-Billancourt,92100
"Haute-Garonne, Occitanie",43.690104,1.06982,Vignaux,31480
"Roubaix-Ouest, Lille",50.63834,3.068671,Lille,59800
"11ème Arrondissement, Paris",48.860066,2.381835,Paris 11e Arrondissement,75011
"Saint-Cloud, Boulogne-Billancourt",48.844959,2.231832,Boulogne-Billancourt,92100
"Colombes, Nanterre",48.889293,2.221145,Nanterre,92000
"Villeurbanne, Lyon",45.768975,4.890035,Villeurbanne,69100
"Armentières, Lille",50.63587,3.044959,Lille,59800
"Savoie, Auvergne-Rhône-Alpes",46.104942,5.824183,Valserhône,01200
"Loiret, Centre",47.867436,1.829392,Saint-Hilaire-Saint-Mesmin,45160
"Saint-Mandé, Nogent-sur-Marne",48.034799,5.346774,Nogent,52800
"Talence, Bordeaux",44.824993,-0.585918,Bordeaux,33000
"Rhône, Auvergne-Rhône-Alpes",43.454781,5.238909,Vitrolles,13127
"Le Bar-sur-Loup, Grasse",43.692396,6.979709,Le Bar-sur-Loup,06620
"Indre-et-Loire, Centre",47.432335,0.66972,Saint-Cyr-sur-Loire,37540
"Puy-de-Dôme, Auvergne-Rhône-Alpes",45.730985,3.198984,Cournon-d'Auvergne,63800
"Deux-Sèvres, Nouvelle-Aquitaine",46.971913,-0.20731,Saint-Jean-de-Thouars,79100
"Loire-Atlantique, Pays de la Loire",47.257587,-1.52961,Nantes,44300
"Haute-Vienne, Nouvelle-Aquitaine",46.066164,0.92192,Nouic,87330
"Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",43.64245,5.090887,Salon-de-Provence,13300
"Oise, Hauts-De-France",49.280684,2.526862,Verneuil-en-Halatte,60550
