title,company,contract_type,location,salary,remote_type,debut_date,require_experience,education,description,profil_experience
Consultant.e Data Engineer Expérimenté.e,"{'name': 'THE INFORMATION LAB', 'sector': 'Logiciels, IT / Digital, Big Data', 'employees': '38 collaborateurs', 'creation_year': '2015', 'turnover': '5M€', 'mean_age': None}",CDI,Paris,45K à 60K €,Télétravail fréquent,,,,"Descriptif du poste
Qui sommes-nous ?
Véritables passionnés de data, nous avons construit The Information Lab autour des solutions Tableau, Alteryx et Snowflake. Nous sommes convaincus que ce sont les meilleures technologies pour accomplir la transformation digitale de nos clients.
Notre spécialisation nous permet d’être les premiers partenaires de ces éditeurs et d’être les experts reconnus de ces solutions en France et en Europe.
En nous rejoignant vous pourrez partager votre passion avec vos pairs, travailler dans une ambiance décontractée pour remplir notre mission : ""Helping people make sense of data”.
Description du poste
Rattaché(e) au pôle Expertise et Conseil, vous intervenez sur des missions pour des clients de toutes tailles (grands groupes, ETI, mais aussi start-up et PME), tous métiers. Vos missions ont pour objet le traitement, l’analyse, l’enrichissement des données de nos clients et l’adoption par nos clients des technologies que nous proposons. Au sein d’une équipe de 5 à 8 personnes, vous réalisez vos missions en autonomie, ou avec un junior que vous encadrez, sous la supervision de votre “pod leader” (chef d’équipe).
Votre rôle consiste à :
Intervenir en avant-vente et cadrer vos missions
Conseiller nos clients et prendre en charge tout ou partie du delivery, sur des missions de quelques jours à quelques mois
Mener des projets de bout en bout, en méthode classique ou agile, en coordination avec les équipes de nos clients, nos équipes internes et les éditeurs partenaires
Présenter les livrables de vos missions et mettre en avant leur ROI
Former nos clients à nos technologies
Mettre vos compétences au service de vos collègues au-delà des missions dont vous avez la charge et participer au développement des compétences en partageant vos retours d’expérience
Participer aux activités d’évangélisation, par exemple : rédaction de posts de blogs, participation aux communautés des éditeurs, interventions lors d’événements (salons, conférences, webinaires)
Participer aux projets internes (BI interne, méthodes & qualités)
Les solutions que vous construisez reposent principalement sur les technologies de nos partenaires (Snowflake, Alteryx, Tableau), mais aussi selon le contexte client sur des technologies similaires.
Vos principales qualités :
Excellentes facultés d’écoute et de communication, orale et écrite
Aptitude à travailler sur plusieurs sujets en parallèle, à prioriser
Humilité et capacité à apprendre ainsi qu’à transmettre ses connaissances
Sens du service, un bon relationnel avec les clients et la rigueur nécessaire au succès de leurs projets
Team player
Compétences méthodologiques :
Analyse du besoin et cadrage de mission
Construction d’indicateurs métiers à partir de données brutes
Idéalement connaissance d’un ou plusieurs métiers et de leurs indicateurs clés
Préparation de données complexes à des fins d’analyse
Méthodes de gestion de projet (classique et agile)
Capacité prouvée à réaliser des démonstrations d’outils
Compétences techniques :
Connaissance d’au moins Alteryx Designer ou Tableau Prep (idéalement vous avez déjà une expérience solide sur ces outils)
Maîtrise d’autres outils d’analyse de données
Connaissance de la modélisation de données à des fins d’analyse
Expérience professionnelle : vous bénéficiez d’au moins 5 ans d’expérience professionnelle, dont 3 ans sur un poste similaire ou dans un poste qui vous aura permis d’utiliser les technologies similaires aux nôtres. Idéalement, vous avez déjà une expérience dans un cabinet de conseil ou une ESN.
Langues : Français, Anglais professionnel
Quoi d’autre ?
Situation géographique : Ile-de-France. Déplacements en France à prévoir.
Rémunération : 45 à 60 k€, selon expérience.
Voir moins",
Alternance (Bac +5) - Data Engineer (F/H/X),"{'name': 'IADVIZE', 'sector': 'IT / Digital, Économie collaborative, E-commerce', 'employees': '220 collaborateurs', 'creation_year': '2010', 'turnover': None, 'mean_age': '33 ans'}",Alternance,Nantes,Non spécifié,Télétravail fréquent,,> 6 mois,,"Descriptif du poste
Vous rejoindrez l'équipe Data (4 personnes) au sein du département Product & Engineering. Vous serez sous la responsabilité du Senior Data Engineer et l'aiderez à concevoir, construire, améliorer et maintenir la stack Data.
Vous aurez l'opportunité de participer à une gamme étendue de tâches, allant de la surveillance de l'infrastructure de données à la mise en œuvre de changements critiques, ainsi que de la collecte de données pour répondre aux défis business.
Votre travail implique des actions à plus long terme ainsi que des interventions opérationnelles quotidiennes, vous offrant ainsi une expérience réaliste du rôle de Data Engineer.
Vous collaborez avec des Data Scientists et des Analystes, ainsi qu'avec l'équipe Engineering Platform et éventuellement avec des parties prenantes commerciales.
Vous acquerrez de l'expérience dans un environnement technique riche, notamment sur Google Big Query, Apache Airflow, Amazon Athena, Elasticsearch, Tableau…
Vos missions :
Surveiller l'exécution des pipelines de données.
Participer à la migration des processus ETL.
Implémenter des évolutions dans la stack d'ingénierie des données (par exemple, automatisations, systèmes d'alerte, traçabilité, documentation).
Contribuer à la mise à jour ou à la configuration de nouveaux pipelines de collecte.
Effectuer des extractions ad hoc et/ou des corrections BI pour répondre aux besoins urgents de l'entreprise.
Voir moins","Profil recherché
Profil recherché
En dernière année d'études (Bac +5), vous recherchez pour 2024/2025 un terrain propice pour vous forger une expérience valorisante.
Vous disposez d’au moins une première expérience en programmation, de compétences en manipulation de données ainsi que de connaissances de base des environnements cloud. Enfin, vous êtes à l'aise avec la gestion de plusieurs tâches et des délais.
 Compétences techniques
Bonne connaissance de Python (usage général, avec un accent sur la manipulation de structures de données).
Bonne connaissance de SQL.
Familiarité avec les environnements Linux et la ligne de commande (CLI).
Compréhension des processus et de l'orchestration ELT/ETL.
Bonus 1 : Expérience avec au moins un fournisseur de Cloud majeur (AWS, GCP, Azure, …).
Bonus 2 : Connaissance d'Airflow, Docker, Terraform, Big Query.
Voir plus"
Margo Analytics - Data Engineer - H/F,"{'name': 'MARGO', 'sector': 'Logiciels, IT / Digital', 'employees': '400 collaborateurs', 'creation_year': '2005', 'turnover': '43M', 'mean_age': '30 ans'}",CDI,Paris,Non spécifié,Télétravail fréquent,,,Bac +5 / Master,"Descriptif du poste
Margo Analytics est l'entité experte de Margo Group des problématiques Data, Cloud et DevOps créée en 2020 par leurs fondateurs Raphaël et Mounir. Aujourd’hui 60 consultants ont intégré l'entité et nous avons commencé à travailler avec 18 nouveaux clients (Banque, Industrie, Assurance, Énergie, E commerce, Santé). A leurs côtés, vous pourrez évoluer rapidement et développer de nouvelles compétences. 
Deux ADN fondateurs forts et spécifiques à Margo Analytics à l’origine de l’entité :
- Toujours se positionner sur les plus beaux sujets et sur les missions à fortes valeurs ajoutées
- Recruter des consultants passionnés et curieux qui cherchent à être challengés
Aujourd’hui, Margo Analytics possède 4 communautés de compétences : 
- Data engineer 
- Data Science/ IA 
- Galaxy OPS (devOps, dataOps, cloudOps)
- Architecte Big Data 
Ainsi en rejoignant Margo Analytics vous aurez le choix des missions (#consultantfirst) sur lesquelles vous souhaitez travailler. Vous serez accompagné par les deux fondateurs ainsi que par le leader de votre communauté, dont les rôles sont de rechercher le projet qui correspondra le plus à vos attentes et de vous accompagner dans votre carrière.
🎯Les missions Margo Analytics : 
Au sein de la communauté Data Engineer vos missions seront : 
- Développer en mode agile les cas d’usages métier 
- Mettre en place des processus de collecte, d’organisation, de stockage et de modélisation des données 
- Développer des traitements de transformation et de production de données
- Assurer la mise en production des modèles de prédiction créés par les Data Scientists
- Participer à l’amélioration continue et au refactoring de code
Besoin de projection ? Voici un exemple de mission : 
Camille accompagne un grand compte dans le domaine de l’industrie sur son projet de mise en place d’un nouveau datalake en Azure databricks. L’objectif de cette mission est d’assurer la distribution de la donnée de manière optimisée pour créer une couche de distribution et permettre aux Data Scientists d’implémenter les use cases. Camille apporte son expertise sur les technologies suivantes : Spark, Scala, Azure, Databricks.
Nos stack Technique : 
- Langage : Python/Scala/Java
- Framework : Spark/Hadoop
- Cloud: Azure/ AWS/ GCP 
🙌 Les avantages : 
- Tickets restaurants Swile
- Mutuelle Alan prise en charge à 100%
- Pass Navigo pris en charge à 100%
- Télétravail
- Formations illimitées
- Locaux en plein coeur de Paris
- Places en crèches
🤝Notre processus de recrutement : 
Notre processus de recrutement se fait en 3 étapes, réparties sur 7 à 15 jours maximum :
- Première rencontre ! Vous échangez avec un RH et un dirigeant sur votre parcours, vos aspirations professionnelles ainsi que sur Margo Analytics et les opportunités que nous proposons
- Challengez-vous dans le cadre d’un entretien technique avec l’un de nos experts. C’est également l’occasion pour vous d’avoir son retour d’expérience
- Dernier entretien de motivation : pour finir, vous rencontrez un membre du board de Margo Analytics pour un entretien final
🔍 Vous êtes un(e) futur(e) Margo Analytics si : 
Must-Have
Vous êtes issu(e) d’une école d’ingénieur ou d’un cursus universitaire équivalent niveau Bac + 5 / Master
Vous aimez coder et vous êtes passionné(e) d’informatique et de Data
Vous êtes curieux(se) et vous vous intéressez aux dernières technologies du marché
Vous justifiez d’une première expérience en tant que Data Engineer
Nice to Have
Vous êtes ambitieux(se) et n’avez pas peur de travailler sur des projets challengeants dans des environnements à fortes contraintes techniques . Vous parlez et comprenez l’anglais. 
Voir moins",
Data Engineer Junior H/F,"{'name': 'MEILLEURTAUX', 'sector': 'FinTech / InsurTech, Immobilier commercial, Immobilier particulier', 'employees': '2000 collaborateurs', 'creation_year': '1999', 'turnover': None, 'mean_age': '34 ans'}",CDI,Paris,Non spécifié,Télétravail non autorisé,,,,"Descriptif du poste
Vous souhaitez rejoindre la fintech leader en crédit et en assurance, en forte croissance, innovante, dynamique et débordante de projets ? Ce qui suit va vous intéresser !
Nous sommes engagés dans le développement de la plateforme Data du Groupe incluant notamment des problématiques métiers clefs telles que la Customer Data Platform.  
Cette plateforme de données est au cœur de la stratégie de croissance de l’entreprise et va nous permettre de : 
- Augmenter la Customer Lifetime Value (CLTV) de nos clients, 
- D'intégrer dans tous nos produits des composants IA innovants,  
- Réduire nos coûts d’acquisition, 
- Faciliter le pilotage du business à travers une optimisation de nos outils de BI. 
Au sein de l’équipe Data, vous vous épanouirez dans notre environnement en évolution rapide, où l'adaptabilité est essentielle. Au-delà de la résolution de défis techniques, nous souhaitons que vous contribuiez activement à la construction de la culture d'ingénierie de Meilleurtaux, à l'amélioration des pratiques et à la promotion d'un environnement collaboratif et innovant. L’équipe est en pleine construction donc nous n’attendons plus que vous pour participer à cette belle aventure. 
Vos missions 📝
Créer et maintenir une infrastructure de données de pointe en permettant aux utilisateurs finaux d'accéder à de la donnée précise et de qualité ; 
Développer de nouveaux modèles de données et des pipelines ; 
Ils auront pour objectif de prendre en charge une grande variété de cas d'utilisation (de l'analyse et du reporting à l'apprentissage automatique et à l'innovation de produits) ; 
Explorer en permanence de nouvelles technologies de données ; 
Tester les solutions les plus innovantes et prometteuses du marché en vue de pouvoir améliorer nos capacités en matière de données.
Notre stack technique  
Développement : Python, java, Salesforce.
CI-CD :  Git, Docker.
Infrastructure cloud : GCP et Azure. 
Bases de données : Google BigQuery, SQL Server.
BI : Qlik Sense. 
Ce poste nécessite d'interagir avec de nombreuses équipes au sein de Meilleurtaux que ce soit sur le plan technique (équipes IT, Data Scientist et BI) et/ou fonctionnel (Product Managers). 
Ceci n’est qu’un avant-goût de la superbe aventure que vous vous apprêtez à rejoindre, le poste étant évidemment amené à évoluer en fonction de vous et vos propositions.
Voir moins","Profil recherché
Pourquoi êtes-vous notre TOP candidat ? 🧐
Une première expérience réussie sur des sujets Data, idéalement de 2 ans.  
Vous savez modéliser la donnée et monitorer sa qualité. 
Bien entendu, il est important que vous ayez de très bonnes bases dans les compétences techniques nécessaires pour une plateforme data, que ce soit en Python, SQL ou les technologies du Cloud. 
Vous avez déjà utilisé des plateformes data. 
Vous vous tenez au fait des dernières actualités et suivez les communautés data. 
Le must : vous avez déjà des connaissances sur l'industrie Fintech / Assurtech ou secteur équivalent.  
Les soft-skills attendus pour réussir chez Meilleurtaux ? 
De la curiosité et de l'apprentissage continu : dans un domaine en constante évolution, nous recherchons une personne connectée aux nouvelles technologies et aux dernières innovations. 
L’esprit d’équipe : travailler chez Meilleurtaux c’est pratiquer un sport d’équipe, chacun collabore avec ses collègues pour aller jusqu’à une victoire collective. 
Voir plus"
Data Engineer,"{'name': 'ADVANCED SCHEMA', 'sector': 'IT / Digital, SaaS / Cloud Services, Big Data', 'employees': '220 collaborateurs', 'creation_year': '2001', 'turnover': None, 'mean_age': '30 ans'}",CDI,Paris,Non spécifié,Télétravail non autorisé,,> 1 an,Bac +3,,
Data Engineer - Banque Data Factory - Nantes,"{'name': 'SOPRA STERIA', 'sector': 'IT / Digital, Organisation / Management', 'employees': '50000 collaborateurs', 'creation_year': '1968', 'turnover': '5,1 Mds', 'mean_age': '37 ans'}",CDI,Nantes,Non spécifié,Télétravail fréquent,,> 5 ans,,"Descriptif du poste
Votre environnement de travail :
La division « Services Financiers » s’est développée autour des métiers de la banque de détail, de la banque privée et des services financiers spécialisés. Nous participons à la révolution digitale grâce à notre expertise en automatisation des processus, Big Data, IA, Cloud. Nous accompagnons la transformation de nos clients en y associant nos compétences dans les domaines fonctionnels des Crédits, des Risques/Conformité et des Moyens de Paiement.
Si vous êtes passionné(e) par la valorisation de la donnée, rejoignez notre Data Factory localisée à Nantes et les quelques 100 Data Ingénieurs qui la composent. Vous y rencontrerez des experts de la mise en œuvre de Plateforme de Données, des Data Architectes ou autres experts solution autour des problématiques de valorisation de la donnée.
Vous êtes accompagné(e) au développement de vos connaissances aux travers de différents parcours Data que ce soit pour l'ingestion, la construction de datahub, la transformation et valorisation de la donnée, la modélisation et mise à disposition.
Rejoindre la Data Factory Sopra Steria, c'est rejoindre une communauté de Data Ingénieurs fiers de partager leur savoir et ouverts aux nouvelles expériences et expérimentations de la donnée.
Votre rôle et vos missions :
Dans le cadre de la mise en place de plateforme Data pour nos clients et selon votre expérience et votre appétence pour l'un de nos chapitres Data ci-dessous, vous participez à :
La compréhension des besoins métiers et la traduction solution de data ingénierie et ou data analysis ;
La mise en œuvre de solution d'ingestion des données quelles soit en batch et/ou en streaming dans un contexte Cloud ;
La structuration du DataLake, la mise en place des processus de gouvernance et de sécurisation des données ;
Le traitement de la donnée jusqu'à l'exposition au métier ;
La mise en place de la chaine CI/CD et de sa supervision ;
La veille technologie avec nos partenaires éditeurs et la mise en place de Prototype Design, Proof of Concept ou encore MVP dans un objectif d'idéation pour nos clients.
Environnement technique : Spark, Hadoop, Hive, Kafka, Elastic, Cloudera, Azure HD Insight, Informatica, Talend, Stambia, DataStage, SAS, DataIku, DataBricks, Qlik, SAP BI (BO), Power BI, Java, Scala, Python, R
Informations supplémentaires
Un accord télétravail pour télétravailler jusqu’à 2 jours par semaine selon vos missions. 
Un package avantages intéressant : une mutuelle, un CSE, des titres restaurants, un accord d’intéressement, des primes vacances et cooptation.
Un accompagnement individualisé avec un mentor.
Des opportunités de carrières multiples : plus de 30 familles de métiers, autant de passerelles à imaginer ensemble.
Plusieurs centaines de formations accessibles en toute autonomie depuis l’app mobile avec Sopra Steria Academy.
La possibilité de s'engager auprès de notre fondation ou de notre partenaire « Vendredi ».
L'opportunité de rejoindre le collectif Tech'Me UP (formations, conférences, veille, et bien plus encore…).
Employeur inclusif et engagé, notre société œuvre chaque jour pour lutter contre toute forme de discrimination et favoriser un environnement de travail respectueux. C’est pourquoi, attachés à la mixité et à la diversité, nous encourageons toutes les candidatures et tous les profils.
https://www.soprasteria.fr/nous-connaitre/nos-engagements
> 
Voir moins","Profil recherché
Votre profil :
Diplômé(e) d'une Ecole d'ingénieur ou formation équivalente, vous avez déjà participé à un projet Data (Big Data, BI) et vous avez une expérience de minimum 2 ans.
Vous accordez une importance particulière au développement de vos compétences sur plusieurs technologies. Vous souhaitez une évolution réelle de carrière à travers l'expérience projet. Vous êtes soucieux de l'apport de valeur pour vos clients. Et vous voulez transmettre votre savoir auprès de collaborateurs moins expérimentés. Alors, n'attendez-plus, ce poste est fait pour vous !"
Data Engineer Talend F/H,"{'name': 'ORANGE', 'sector': 'Objets connectés, Big Data, Electronique / Télécommunications', 'employees': '136000 collaborateurs', 'creation_year': '1994', 'turnover': '43,5 milliards €', 'mean_age': '44 ans'}",CDI,Villeneuve-d'Ascq,Non spécifié,Télétravail fréquent,,> 5 ans,Bac +5 / Master,"Descriptif du poste
Afin de développer notre équipe lilloise, nous recherchons aujourd’hui, un Ingénieur DATA à même d’accompagner nos clients dans la structuration de leurs SI autour de la donnée.

Vos principales missions seront les suivantes :

- Concevoir des solutions de traitement et collecter des volumes importants de données.
- Participer à des études de cadrage pour collecter le besoin métier et concevoir les solutions qui répondent au besoin du client.
- Apporter son expertise sur des problématiques précises rencontrées chez les clients.
- Participer à la veille techno
- Rester informer et former sur les nouvelles solutions DATA
- Contribuer aux phases d’avant-vente et au développement business.
- Participer à la conception, l’évolution et la présentation de nos offres DATA.","Profil recherché
Vous :
- Êtes issu(e) de formation bac+5
- Vous justifiez d’au moins 4 ans d’expériences en qualité d’Ingénieur DATA sur la solution TALEND Enterprise (Data Integration) et avez idéalement une connaissance des solutions Cloud d’AWS et d’AZURE
- Vous êtes intervenus sur des projets intégrant des pratiques DevOps et AGILE
Alors postulez, ce poste est fait pour vous !
 
Vos compétences clés :
- Expertise sur l’outil ETL TALEND Enterprise (administration et développement)
- Fortes connaissances des solutions de bases de données (SQL, NoSQL…)
- Connaissances en langages objets ou scripts (notamment Java mais aussi Javascript, Scala, Python…)
- Divers systèmes d’exploitation : UNIX, Windows
 
Autonomie, rigueur, curiosité, dynamisme et sens du service sont des qualités nécessaires pour ce poste.
 
Les compétences complémentaires qui seraient appréciées :

- Connaissances d’autres modules Talend (MDM, ESB, Data Quality, Cloud…)
- Maîtrise des technologies du Big Data (Hadoop, Spark, Kafka…)
- Expertise sur d’autres outils ETL (Informatica, SSIS, DataStage…)
- Notions en architecture des Systèmes d’Information
- Maîtrise de l’anglais (oral et écrit)
Voir plus"
Data Engineer (H/F),"{'name': 'MELTONE ADVISORY', 'sector': 'Logiciels, IT / Digital, Transformation', 'employees': '150 collaborateurs', 'creation_year': '2014', 'turnover': '17M€', 'mean_age': '30 ans'}",CDI,Paris,Non spécifié,Télétravail fréquent,,,Bac +5 / Master,"Descriptif du poste
Chez MeltOne Advisory, il n’y a pas les fonctions métiers d’un côté et la technologie de l’autre. Tous les consultants sont polyvalents et ont un parcours qui leur confère une expertise indéniable à la fois sur vos problématiques métiers mais aussi sur la dimension IT.
Tu interviendras en collaboration étroite avec nos managers et sur différents types de projet :
Transformations digitales,
Optimisation des processus,
Amélioration de la qualité de l’information,
Mise en oeuvre et évolution de systèmes d’information,
Assistance à la gestion de projet
Tes missions seront :
Concevoir des solutions pertinentes et innovantes en tenant compte de tous les enjeux du contexte client
Implémenter et optimiser ces solutions dans les règles de l’art
Conseiller les clients dans leurs choix
Transmettre ton savoir-faire et participer à la capitalisation de connaissance des utilisateurs
Notre structure à taille humaine est un cadre parfait pour te permettre d’évoluer rapidement en t’offrant l’opportunité d’intervenir à la fois sur les différentes phases d’un projet : cadrage / conception et mise en oeuvre / conduite de projet et encadrement d’équipe, mais également sur des activités à dominante commerciale : conception d’offres / rédaction de proposition / soutenance en clientèle.
Voir moins","Profil recherché
Tu as une expérience projets avec Snowflake
Tu maitrises le domaine fonctionnel de la finance ou de la logistique
Tu souhaites intervenir sur des projets à forte valeur ajoutée
Tu as un goût prononcé pour les nouvelles technologies
Tu as un fort esprit d’équipe, et aime partager des moments conviviaux avec tes collègues
Tu es doté(e) d’un bon relationnel et tu maîtrises l’anglais
Tu recherches une entreprise à taille humaine avec un management de proximité pour accompagner ton développement de carrière, et un environnement où l’autonomie et l’esprit d’initiative sont mis en avant.
Si en lisant cela, tu te dis que c’est tout toi (ou presque), c’est que tu as l’étoffe d’un futur MeltOner et que tu dois postuler à cette offre."
Data Engineer,"{'name': 'ADVANCED SCHEMA', 'sector': 'IT / Digital, SaaS / Cloud Services, Big Data', 'employees': '220 collaborateurs', 'creation_year': '2001', 'turnover': None, 'mean_age': '30 ans'}",CDI,Paris,Non spécifié,Télétravail non autorisé,,,Bac +3,,
Data Engineer (H/F) - CDI - Paris,"{'name': 'LE COLLECTIONIST', 'sector': 'Hôtellerie, Tourisme, Immobilier particulier', 'employees': '330 collaborateurs', 'creation_year': '2012', 'turnover': None, 'mean_age': '30 ans'}",CDI,Paris,Non spécifié,Télétravail fréquent,,> 6 mois,Bac +5 / Master,"Descriptif du poste
At LC, The Data team is composed of 2 Data Analysts (1 Lead and 1 IC) and 1 Lead Data Engineer reporting to the CTPO, and is thus part of the Tech & Product team.
The goal of the Data team is to unlock and democratize the usage of data in other teams’ everyday activity and decision making process.
The Data Engineer is responsible for the company’s Data Platform: from the infrastructure setup to the release and management of the Warehouse trusted data model.
As of today, this Data Platform is mainly used for BI & Analytics use cases to help teams work more efficiently and make better decisions by providing a consolidated view of LC business performance through dashboards, data extractions and analysis.
In 2024, we will work on building a more Self-service oriented Data platform for business users to be less dependent on the central Data team AND why not, explore some Machine Learning use cases later.
By joining us, you will be part of a Data team that, while still in its early stages of development, made the effort of building a strong basis and setting up a lot of best practices.
It will be the opportunity for you to grow and develop your Data Engineering skills on a Modern Data Stack, be mentored by an experienced Data Engineer and have a lot of impact on the Data Platform and team development.
🚀 Key missions
As a Data Engineer, you will report directly to the Lead Data Engineer and will:
Build and maintain data ingestion and processing pipelines (cleaning, curation, data quality checks, etc.)
Provide and maintain consumption-ready trusted data for Data Analyst or Business users
Deploy, monitor and optimize components of the Data Platform
Provide and maintain tools for Data Analysts
Write and maintain the Data Platform documentation
At LC, the Data Engineer role has a mix of Data Platform Engineer and Analytics Engineer responsibilities.
🏭 Our technical stack
Cloud provider : Google Cloud Platform
Data Warehouse : BigQuery
Ingestion tool : Airbyte (self-hosted, on Kubernetes)
Orchestration & Transformation : Cloud Composer (Apache Airflow), Dataform
BI tool : Looker Studio
Infra-as-Code : Terraform, Terragrunt
Main coding language : Python, SQL
Perks :
🚌 50% reimbursement of the transportation pass🎂 1 day off for your birthday (excluding weekends and public holidays)
🍽️ Meal vouchers up to €8
💻 A laptop
🎊 Year-round events (Christmas Party, Raclette Party, Summer Party…)
💵 Unlimited referrals (up to €1000 for a permanent position)
☀️ A surprise experience worth €150 to be won every quarter
🏡 2 remote days per week
🏋🏽 Gymlib subscription (activities and sports in France)
✨ Happypal account for cultural activities
Voir moins","Profil recherché
Preferred background/experience
Bac+5 with specialization in Data
Internship and/or 1st experience as Data/Analytics/BI Engineer in a startup/scaleup company is preferred
Hard skills
Basic knowledge of Software and Data Engineering principles
Experience with any RDBMS (PostgreSQL, MySQL, SQL Server, etc.)
Experience with git
Good experience with SQL 
Knowledge of Python and CLI
Soft skills
Team player 
Strong interest in using best practices 
Not afraid to talk to business people"
